id,start_x,start_y,end_x,end_y
0,458,1.325,2317,0.8846
1,2317,0.8846,4175,0.932
2,4175,0.932,6034,1.104
3,6034,1.104,7893,0.6654
4,7893,0.6654,9752,0.9272
5,9752,0.9272,11610,0.9832
6,11610,0.9832,13470,1.265
