Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC
480,"DJ Sobajic, YH Pao","Artificial neural-net based dynamic security assessment for electric power systems",1989,"IEEE Transactions on Power Systems","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/32481/","https://scholar.google.com/scholar?cites=15976325602059914027&as_sdt=5,33&sciodt=0,33&hl=en&num=20",828,"2017-06-15","","","","",0,0,0,0,480
470,"A Zell, N Mache, R Huebner, G Mamier, M Vogt…","SNNS (stuttgart neural network simulator)",1994,"Neural Network …","Springer","http://link.springer.com/chapter/10.1007/978-1-4615-2736-7_9","https://scholar.google.com/scholar?cites=10516958497654639451&as_sdt=5,33&sciodt=0,33&hl=en&num=20",898,"2017-06-15","","","","",0,0,0,0,470
455,"J Karhunen, J Joutsensalo","Representation and separation of signals using nonlinear PCA type learning",1994,"Neural networks","Elsevier","http://www.sciencedirect.com/science/article/pii/0893608094900604","https://scholar.google.com/scholar?cites=16207038959297915118&as_sdt=5,33&sciodt=0,33&hl=en&num=20",387,"2017-06-15","","","","",0,0,0,0,455
455,"IV Tetko, DJ Livingstone, AI Luik","Neural network studies. 1. Comparison of overfitting and overtraining",1995,"Journal of chemical information …","ACS Publications","http://pubs.acs.org/doi/pdf/10.1021/ci00027a006","https://scholar.google.com/scholar?cites=13939262416483597024&as_sdt=5,33&sciodt=0,33&hl=en&num=20",961,"2017-06-15","PDF","","","",0,0,0,0,455
427,"BS Ahn, SS Cho, CY Kim","The integrated methodology of rough set theory and artificial neural network for business failure prediction",2000,"Expert systems with applications","Elsevier","http://www.sciencedirect.com/science/article/pii/S0957417499000536","https://scholar.google.com/scholar?cites=11008160702800121724&as_sdt=5,33&sciodt=0,33&hl=en&num=20",25,"2017-06-15","","","","",0,0,0,0,427
425,"F Gruau","Neural Network Synthesis using Cellular Encoding and the Genetic Algorithm.",1994,"","Citeseer","http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.29.5939","https://scholar.google.com/scholar?cites=8762887352323335089&as_sdt=5,33&sciodt=0,33&hl=en&num=20",51,"2017-06-15","","","","",0,0,0,0,425
425,"C Charalambous","Conjugate gradient algorithm for efficient training of artificial neural networks",1992,"IEE Proceedings G-Circuits, Devices and …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/143326/","https://scholar.google.com/scholar?cites=297237415356833726&as_sdt=5,33&sciodt=0,33&hl=en&num=20",649,"2017-06-15","","","","",0,0,0,0,425
424,"Y Zhang, X Ding, Y Liu, PJ Griffin","An artificial neural network approach to transformer fault diagnosis",1996,"IEEE Transactions on Power …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/544265/","https://scholar.google.com/scholar?cites=1031608744327390131&as_sdt=5,33&sciodt=0,33&hl=en&num=20",16,"2017-06-15","","","","",0,0,0,0,424
424,"YH Hu, JN Hwang","Handbook of neural network signal processing",2001,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=ws-fBwAAQBAJ&oi=fnd&pg=PP1&dq=artificial+neural+network&ots=ZQVCn9XENG&sig=IbJvkWuHKGrgPNBwrkeRM5vdXXo","https://scholar.google.com/scholar?cites=9999186129064385295&as_sdt=5,33&sciodt=0,33&hl=en&num=20",88,"2017-06-15","BOOK","","","",0,0,0,0,424
417,"S Agatonovic-Kustrin, R Beresford","Basic concepts of artificial neural network (ANN) modeling and its application in pharmaceutical research",2000,"Journal of pharmaceutical and …","Elsevier","http://www.sciencedirect.com/science/article/pii/S0731708599002721","https://scholar.google.com/scholar?cites=12489523918169166974&as_sdt=5,33&sciodt=0,33&hl=en&num=20",18,"2017-06-15","","","","",0,0,0,0,417
417,"C Peterson, T Rögnvaldsson, L Lönnblad","JETNET 3.0—A versatile artificial neural network package",1994,"Computer Physics …","Elsevier","http://www.sciencedirect.com/science/article/pii/0010465594901201","https://scholar.google.com/scholar?cites=15942812275535246942&as_sdt=5,33&sciodt=0,33&hl=en&num=20",38,"2017-06-15","","","","",0,0,0,0,417
414,"GA Carpenter","Neural network models for pattern recognition and associative memory",1989,"Neural networks","Elsevier","http://www.sciencedirect.com/science/article/pii/089360808990035X","https://scholar.google.com/scholar?cites=11405486204604060429&as_sdt=5,33&sciodt=0,33&hl=en&num=20",703,"2017-06-15","","","","",0,0,0,0,414
407,"JC Hoskins, DM Himmelblau","Artificial neural network models of knowledge representation in chemical engineering",1988,"Computers & Chemical Engineering","Elsevier","http://www.sciencedirect.com/science/article/pii/0098135488870157","https://scholar.google.com/scholar?cites=651688492266821871&as_sdt=5,33&sciodt=0,33&hl=en&num=20",20,"2017-06-15","","","","",0,0,0,0,407
404,"E Byvatov, U Fechner, J Sadowski…","Comparison of support vector machine and artificial neural network systems for drug/nondrug classification",2003,"Journal of chemical …","ACS Publications","http://pubs.acs.org/doi/abs/10.1021/ci0341161","https://scholar.google.com/scholar?cites=3964850904716185564&as_sdt=5,33&sciodt=0,33&hl=en&num=20",26,"2017-06-15","","","","",0,0,0,0,404
403,"JH Park, YS Kim, IK Eom, KY Lee","Economic load dispatch for piecewise quadratic cost function using Hopfield neural network",1993,"IEEE Transactions on Power …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/260897/","https://scholar.google.com/scholar?cites=13613612458099929701&as_sdt=5,33&sciodt=0,33&hl=en&num=20",873,"2017-06-15","","","","",0,0,0,0,403
396,"M Dougherty","A review of neural networks applied to transport",1995,"Transportation Research Part C: Emerging …","Elsevier","http://www.sciencedirect.com/science/article/pii/0968090X95000098","https://scholar.google.com/scholar?cites=12397053958796187220&as_sdt=5,33&sciodt=0,33&hl=en&num=20",233,"2017-06-15","","","","",0,0,0,0,396
394,"DA Pomerleau","Efficient training of artificial neural networks for autonomous navigation",1991,"Neural Computation","MIT Press","http://www.mitpressjournals.org/doi/abs/10.1162/neco.1991.3.1.88","https://scholar.google.com/scholar?cites=2187416832553439739&as_sdt=5,33&sciodt=0,33&hl=en&num=20",606,"2017-06-15","","","","",0,0,0,0,394
382,"B Samanta, KR Al-Balushi, SA Al-Araimi","Artificial neural networks and support vector machines with genetic algorithm for bearing fault detection",2003,"… Applications of Artificial …","Elsevier","http://www.sciencedirect.com/science/article/pii/S0952197603001143","https://scholar.google.com/scholar?cites=15108958371437326132&as_sdt=5,33&sciodt=0,33&hl=en&num=20",839,"2017-06-15","","","","",0,0,0,0,382
379,"JM Benítez, JL Castro, I Requena","Are artificial neural networks black boxes?",1997,"IEEE Transactions on neural …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/623216/","https://scholar.google.com/scholar?cites=3589350390192064360&as_sdt=5,33&sciodt=0,33&hl=en&num=20",946,"2017-06-15","","","","",0,0,0,0,379
370,"S Lee, JH Ryu, JS Won, HJ Park","Determination and application of the weights for landslide susceptibility mapping using an artificial neural network",2004,"Engineering Geology","Elsevier","http://www.sciencedirect.com/science/article/pii/S001379520300142X","https://scholar.google.com/scholar?cites=12384953367055295458&as_sdt=5,33&sciodt=0,33&hl=en&num=20",24,"2017-06-15","","","","",0,0,0,0,370
366,"JD Olden, MK Joy, RG Death","An accurate comparison of methods for quantifying variable importance in artificial neural networks using simulated data",2004,"Ecological Modelling","Elsevier","http://www.sciencedirect.com/science/article/pii/S0304380004001565","https://scholar.google.com/scholar?cites=14212238814946752816&as_sdt=5,33&sciodt=0,33&hl=en&num=20",534,"2017-06-15","","","","",0,0,0,0,366
364,"T Hill, L Marquez, M O'Connor, W Remus","Artificial neural network models for forecasting and decision making",1994,"International journal of …","Elsevier","http://www.sciencedirect.com/science/article/pii/0169207094900450","https://scholar.google.com/scholar?cites=9667608260367855329&as_sdt=5,33&sciodt=0,33&hl=en&num=20",8,"2017-06-15","","","","",0,0,0,0,364
364,"BA Paya, II Esat, MNM Badi","Artificial neural network based fault diagnostics of rotating machinery using wavelet transforms as a preprocessor",1997,"Mechanical systems and signal processing","Elsevier","http://www.sciencedirect.com/science/article/pii/S088832709790090X","https://scholar.google.com/scholar?cites=5026904368027052898&as_sdt=5,33&sciodt=0,33&hl=en&num=20",21,"2017-06-15","","","","",0,0,0,0,364
357,"D Papale, R Valentini","A new assessment of European forests carbon exchanges by eddy fluxes and artificial neural network spatialization",2003,"Global Change Biology","Wiley Online Library","http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2486.2003.00609.x/full","https://scholar.google.com/scholar?cites=10981679776956031915&as_sdt=5,33&sciodt=0,33&hl=en&num=20",32,"2017-06-15","","","","",0,0,0,0,357
354,"GG Gardner, D Keating, TH Williamson…","Automatic detection of diabetic retinopathy using an artificial neural network: a screening tool.",1996,"British journal of …","bjo.bmj.com","http://bjo.bmj.com/content/80/11/940.short","https://scholar.google.com/scholar?cites=10494261821126773438&as_sdt=5,33&sciodt=0,33&hl=en&num=20",17,"2017-06-15","","","","",0,0,0,0,354
354,"WE Reddick, JO Glass, EN Cook…","Automated segmentation and classification of multispectral magnetic resonance images of brain using artificial neural networks",1997,"… on medical imaging","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/650887/","https://scholar.google.com/scholar?cites=13967959645720656812&as_sdt=5,33&sciodt=0,33&hl=en&num=20",816,"2017-06-15","","","","",0,0,0,0,354
351,"V Brusic, G Rudy, G Honeyman, J Hammer…","Prediction of MHC class II-binding peptides using an evolutionary algorithm and artificial neural network.",1998,"…","Oxford Univ Press","http://bioinformatics.oxfordjournals.org/content/14/2/121.abstract","https://scholar.google.com/scholar?cites=18446731468660371865&as_sdt=5,33&sciodt=0,33&hl=en&num=20",31,"2017-06-15","","","","",0,0,0,0,351
349,"CN Lu, HT Wu, S Vemuri","Neural network based short term load forecasting",1993,"IEEE Transactions on Power …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/221223/","https://scholar.google.com/scholar?cites=7864524112672117952&as_sdt=5,33&sciodt=0,33&hl=en&num=20",666,"2017-06-15","","","","",0,0,0,0,349
