Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC
44,"R Debnath, H Takahashi","Kernel selection for the support vector machine",2004,"IEICE transactions on information and …","search.ieice.org","http://search.ieice.org/bin/summary.php?id=e87-d_12_2903","https://scholar.google.com/scholar?cites=17830439639227301625&as_sdt=5,33&sciodt=0,33&hl=en&num=20",656,"2017-06-15","","","","",0,0,0,0,44
44,"G Zhu, C Xu, Q Huang, W Gao","Automatic multi-player detection and tracking in broadcast sports video using support vector machine and particle filter",2006,"Multimedia and Expo, 2006 …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/4036928/","https://scholar.google.com/scholar?cites=9929681196153997422&as_sdt=5,33&sciodt=0,33&hl=en&num=20",664,"2017-06-15","","","","",0,0,0,0,44
44,"H Mustafa, M Doroslovacki","Digital modulation recognition using support vector machine classifier",2004,"Signals, Systems and Computers, …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/1399565/","https://scholar.google.com/scholar?cites=12678344263151299762&as_sdt=5,33&sciodt=0,33&hl=en&num=20",677,"2017-06-15","","","","",0,0,0,0,44
44,"CH Hoi, MR Lyu","Group-based relevance feedback with support vector machine ensembles",2004,"… , 2004. ICPR 2004. Proceedings of the 17th …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/1334667/","https://scholar.google.com/scholar?cites=80114980826107270&as_sdt=5,33&sciodt=0,33&hl=en&num=20",682,"2017-06-15","","","","",0,0,0,0,44
44,"L Xiaohua, S Lansun…","Estimation of crowd density based on wavelet and support vector machine",2006,"Transactions of the …","journals.sagepub.com","http://journals.sagepub.com/doi/abs/10.1191/0142331206tim178oa","https://scholar.google.com/scholar?cites=4929684360430172640&as_sdt=5,33&sciodt=0,33&hl=en&num=20",767,"2017-06-15","","","","",0,0,0,0,44
44,"J Wu, XL Zhang","Efficient multiple kernel support vector machine based voice activity detection",2011,"IEEE Signal Processing Letters","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/5873124/","https://scholar.google.com/scholar?cites=3753556778039641689&as_sdt=5,33&sciodt=0,33&hl=en&num=20",786,"2017-06-15","","","","",0,0,0,0,44
44,"CJ Lu, YE Shao, PH Li","Mixture control chart patterns recognition using independent component analysis and support vector machine",2011,"Neurocomputing","Elsevier","http://www.sciencedirect.com/science/article/pii/S0925231211000762","https://scholar.google.com/scholar?cites=10043725562746983295&as_sdt=5,33&sciodt=0,33&hl=en&num=20",824,"2017-06-15","","","","",0,0,0,0,44
44,"J Gu, M Zhu, L Jiang","Housing price forecasting based on genetic algorithm and support vector machine",2011,"Expert Systems with Applications","Elsevier","http://www.sciencedirect.com/science/article/pii/S0957417410009310","https://scholar.google.com/scholar?cites=5051429934547875729&as_sdt=5,33&sciodt=0,33&hl=en&num=20",827,"2017-06-15","","","","",0,0,0,0,44
44,"J He, HJ Hu, R Harrison, PC Tai, Y Pan","Transmembrane segments prediction and understanding using support vector machine and decision tree",2006,"Expert Systems with Applications","Elsevier","http://www.sciencedirect.com/science/article/pii/S0957417405002411","https://scholar.google.com/scholar?cites=8353725941467782314&as_sdt=5,33&sciodt=0,33&hl=en&num=20",828,"2017-06-15","","","","",0,0,0,0,44
44,"G Camps-Valls, J Muñoz-Marí…","Biophysical parameter estimation with a semisupervised support vector machine",2009,"… and Remote Sensing …","ieeexplore.ieee.org","http://ieeexplore.ieee.org/abstract/document/4768712/","https://scholar.google.com/scholar?cites=15537094616327837310&as_sdt=5,33&sciodt=0,33&hl=en&num=20",846,"2017-06-15","","","","",0,0,0,0,44
44,"H Li, H Gu, Y Han, J Yang","Object-oriented classification of high-resolution remote sensing imagery based on an improved colour structure code and a support vector machine",2010,"International journal of remote sensing","Taylor & Francis","http://www.tandfonline.com/doi/abs/10.1080/01431160903475266","https://scholar.google.com/scholar?cites=17250820278278941519&as_sdt=5,33&sciodt=0,33&hl=en&num=20",875,"2017-06-15","","","","",0,0,0,0,44
44,"S Sprager, D Zazula","A cumulant-based method for gait identification using accelerometer data with principal component analysis and support vector machine",2009,"WSEAS Transactions on Signal …","pdfs.semanticscholar.org","https://pdfs.semanticscholar.org/23ad/66de8ebf33921886d03f2ddba98169d31290.pdf","https://scholar.google.com/scholar?cites=14049313337768158026&as_sdt=5,33&sciodt=0,33&hl=en&num=20",892,"2017-06-15","PDF","","","",0,0,0,0,44
44,"LJ Tang, YP Zhou, JH Jiang, HY Zou…","Radial basis function network-based transform for a nonlinear support vector machine as optimized by a particle swarm optimization algorithm with application to …",2007,"Journal of chemical …","ACS Publications","http://pubs.acs.org/doi/abs/10.1021/ci700047x","https://scholar.google.com/scholar?cites=9502056743421632759&as_sdt=5,33&sciodt=0,33&hl=en&num=20",898,"2017-06-15","","","","",0,0,0,0,44
44,"Y Li, C Guan","Joint feature re-extraction and classification using an iterative semi-supervised support vector machine algorithm",2008,"Machine Learning","Springer","http://www.springerlink.com/index/1R21265M70565227.pdf","https://scholar.google.com/scholar?cites=816574690310887337&as_sdt=5,33&sciodt=0,33&hl=en&num=20",940,"2017-06-15","","","","",0,0,0,0,44
