id,start_x,start_y,end_x,end_y
0,13740,168.7,13790,171.2
1,13790,171.2,13840,178.5
2,13840,178.5,13890,184.5
3,13890,184.5,13940,176
4,13940,176,14000,164.9
5,14000,164.9,14050,203.6
6,14050,203.6,14100,187.6
