id,start_x,start_y,end_x,end_y
0,119,3.598,2026,3.742
1,2026,3.742,3933,2.902
2,3933,2.902,5840,2.736
3,5840,2.736,7748,2.617
4,7748,2.617,9655,2.126
5,9655,2.126,11560,1.877
6,11560,1.877,13470,1.57
