id,start_x,start_y,end_x,end_y
0,106,91.54,2015,102
1,2015,102,3924,95.31
2,3924,95.31,5833,107.7
3,5833,107.7,7741,108.3
4,7741,108.3,9650,124.6
5,9650,124.6,11560,122.6
6,11560,122.6,13470,132.6
