id,start_x,start_y,end_x,end_y
0,106,8.465,2015,12.85
1,2015,12.85,3924,9.377
2,3924,9.377,5978,11.5
3,5978,11.5,7741,10.37
4,7741,10.37,9650,12.51
5,9650,12.51,11560,11.28
6,11560,11.28,13470,12.3
