Date,Na
22-Oct-2013,8.6
5-Nov-2013,8.6
19-Nov-2013,8.7
22-Mar-2016,9.1
6-Apr-2016,10.0
19-Apr-2016,9.1
4-May-2016,10.3
17-May-2016,9.3
31-May-2016,9.4
28-Jun-2016,9.9
26-Jul-2016,9.5
23-Aug-2016,10.2
20-Sep-2016,10.3
18-Oct-2016,9.2
1-Nov-2016,9.3
15-Nov-2016,9.3
