id,start_x,start_y,end_x,end_y
0,5579,10.66,6706,10.77
1,6706,10.77,7833,12.58
2,7833,12.58,8960,15.44
3,8960,15.44,10090,14.59
4,10090,14.59,11210,16.82
5,11210,16.82,12340,14.56
6,12340,14.56,13470,19.18
