id,start_x,start_y,end_x,end_y
0,656.24,10.98,1968.75,10.555
1,1968.75,10.555,3281.25,11.51
2,3281.25,11.51,4593.75,11.97
3,4593.75,11.97,5906.25,11
4,5906.25,11,7218.75,11.938
