id,start_x,start_y,end_x,end_y
0,12170,2.529,12350,2.332
1,12350,2.332,12540,1.938
2,12540,1.938,12730,2.022
3,12730,2.022,12910,2.215
4,12910,2.215,13100,2.493
5,13100,2.493,13280,2.588
6,13280,2.588,13470,2.349
